age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,id
34,blue-collar,married,secondary,no,745,yes,no,cellular,20,apr,400,5,332,4,failure,no,33500
32,blue-collar,married,secondary,no,43,yes,no,unknown,21,may,173,2,-1,0,unknown,no,5134
35,unemployed,single,primary,no,-17,no,no,cellular,28,jan,100,1,-1,0,unknown,no,27868
42,management,married,tertiary,no,2816,no,no,cellular,10,nov,193,2,-1,0,unknown,yes,42187
43,housemaid,married,secondary,no,618,no,no,unknown,17,jun,89,4,-1,0,unknown,no,11039
47,technician,divorced,tertiary,no,405,yes,no,cellular,30,jan,236,1,260,1,failure,no,28709
36,blue-collar,married,secondary,no,-557,yes,yes,cellular,29,jan,484,1,253,1,failure,no,28263
41,technician,divorced,tertiary,no,533,yes,no,cellular,14,jul,257,4,-1,0,unknown,no,14435
33,management,married,tertiary,no,2098,no,no,cellular,20,nov,67,1,-1,0,unknown,no,26307
33,management,married,secondary,no,56,yes,no,unknown,21,may,255,1,-1,0,unknown,no,4856
31,blue-collar,single,secondary,no,144,yes,no,cellular,17,apr,370,3,-1,0,unknown,no,32918
44,entrepreneur,married,tertiary,no,1,yes,no,cellular,13,may,123,2,-1,0,unknown,no,37118
27,services,married,secondary,no,0,yes,no,cellular,23,jul,198,13,-1,0,unknown,no,16477
52,services,married,primary,no,911,no,no,unknown,20,jun,29,2,-1,0,unknown,no,11915
49,blue-collar,divorced,primary,no,15,yes,no,unknown,27,may,550,7,-1,0,unknown,no,6528
32,unemployed,single,tertiary,no,5874,no,no,cellular,3,feb,298,1,-1,0,unknown,no,29577
41,admin.,single,secondary,no,1322,yes,no,cellular,29,jan,58,1,266,1,failure,no,28217
41,management,married,tertiary,no,0,yes,no,unknown,13,may,161,1,-1,0,unknown,no,2566
32,admin.,married,tertiary,no,2831,yes,no,cellular,18,nov,278,2,-1,0,unknown,no,24818
40,entrepreneur,married,tertiary,no,70,no,no,cellular,20,nov,57,1,-1,0,unknown,no,26332
37,management,married,tertiary,no,4357,no,no,cellular,31,jul,548,2,-1,0,unknown,no,18506
50,entrepreneur,married,tertiary,no,-52,yes,no,unknown,14,may,166,4,-1,0,unknown,no,3109
51,technician,married,secondary,no,564,no,yes,cellular,8,jul,187,2,-1,0,unknown,no,13130
33,entrepreneur,married,tertiary,no,196,yes,no,cellular,18,nov,58,1,-1,0,unknown,no,24822
33,blue-collar,single,secondary,no,228,no,no,telephone,5,may,110,1,89,4,failure,no,43632
32,blue-collar,married,secondary,no,4,yes,yes,cellular,8,jul,173,1,-1,0,unknown,no,13360
36,technician,single,secondary,no,-15,yes,no,unknown,6,may,341,3,-1,0,unknown,no,590
42,technician,single,tertiary,no,3908,yes,no,telephone,4,feb,43,5,-1,0,unknown,no,30114
39,technician,single,secondary,no,283,yes,no,cellular,11,may,369,2,350,1,failure,no,36148
44,technician,married,secondary,no,398,yes,no,unknown,28,may,140,5,-1,0,unknown,no,6992
60,blue-collar,married,unknown,no,3538,no,no,unknown,11,jun,261,1,-1,0,unknown,no,10108
38,blue-collar,single,tertiary,no,2885,yes,no,unknown,20,jun,1422,10,-1,0,unknown,yes,11865
39,management,married,secondary,no,215,no,no,cellular,11,aug,1141,4,-1,0,unknown,yes,20288
39,blue-collar,married,primary,no,295,yes,no,unknown,4,jun,38,1,-1,0,unknown,no,8850
35,blue-collar,married,secondary,no,2054,yes,no,unknown,20,may,447,1,-1,0,unknown,no,4499
40,technician,married,tertiary,no,1034,yes,no,cellular,18,may,368,2,-1,0,unknown,no,39194
30,technician,single,secondary,yes,28,yes,no,cellular,15,may,778,5,301,1,failure,no,38130
